SP_Hole_ID,From_Hole_Position,To_Hole_Position,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,Fe_pct,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Hg_ppm,Ho_ppm,In_ppm,K_pct,La_ppm,Lu_ppm,Match,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Nb_ppm,Nd_ppm,Ni_ppm,P_pct,Pb_ppm,Pr_ppm,Rb_ppm,Re_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Si_pct,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
PH19RD7492,506.0,507.0,0.45650000,7.62924095,13.97450000,0.09175000,529.67025000,3.06700000,0.97525772,0.30800000,686.13325000,16.13900000,63.75550000,34.62000000,265.88350000,5.77750000,2.71000000,1.32200000,6.98508537,10.57375000,7.29475000,5.53200000,4.27900000,0.71650000,1.11100000,0.24325000,4.37300745,395.12825000,0.39050000,0.96902683,1.10781035,271.42550000,3.43750000,0.02908497,15.09100000,76.89250000,797.62475000,0.05034972,18.65050000,26.78025000,194.33150000,0.01050000,0.01052842,6.47800000,15.92300000,5.18200000,25.97336377,9.76725000,3.91425000,19.42750000,1.72825000,0.66325000,5.04825000,12.37375000,6764.47450000,1.33100000,224.41450000,44.19225000,99.28425000,31.37650000,28.05900000,129.97575000,-8.82150000,200.06875000
PH19RD7492,509.0,510.0,6.22125000,7.46414800,7.97000000,0.08000000,203.52325000,1.72550000,0.89934315,0.30450000,337.27750000,19.52675000,55.38366666,34.02100000,348.89900000,5.54900000,2.09325000,1.05975000,6.77048720,12.28075000,6.25725000,5.06850000,5.17400000,0.45400000,1.06075000,0.24525000,4.25296857,263.19550000,0.38900000,0.98480040,0.98364060,277.56825000,3.13725000,0.02903360,12.38775000,35.91025000,746.26225000,0.01363153,10.72250000,20.55950000,165.55225000,0.01650000,-0.00431856,6.85300000,23.43633333,4.23100000,25.26737600,8.50625000,6.46325000,17.68925000,1.29275000,0.68250000,4.25575000,11.81050000,7122.05275000,1.22750000,226.32975000,38.98725000,48.49350000,24.66225000,17.97775000,59.83600000,-0.88100000,159.63875000
PH19RD7492,510.0,511.0,2.02240000,6.85958072,20.36160000,0.04920000,282.15020000,2.12280000,1.03252144,0.26400000,518.17840000,15.82480000,58.20725000,33.42580000,505.40840000,5.64100000,2.58060000,1.46720000,12.68429562,-3.81400000,6.25040000,5.18520000,5.20940000,0.64040000,1.10040000,0.27400000,3.23983530,346.31480000,0.40840000,0.97498351,1.36803217,344.82540000,7.28840000,0.02724662,11.17160000,60.06780000,655.91000000,0.03172667,20.76000000,26.28920000,174.96720000,0.00760000,-0.02004420,8.87780000,19.43100000,5.16320000,20.97952970,9.01280000,10.09580000,17.17580000,2.01780000,0.77300000,3.37800000,13.35580000,9551.32080000,0.93300000,298.50040000,38.49080000,69.82520000,22.61440000,16.66340000,85.82540000,8.58000000,139.82420000
PH19RD7492,511.0,512.0,0.41033333,6.91004166,48.47150000,0.22450000,152.37400000,6.48433333,1.10500800,0.24583333,405.67766666,21.00216666,51.46700000,33.49266666,645.97050000,5.70050000,2.86033333,1.67133333,11.59114953,-8.42366666,6.28333333,4.83000000,5.01516666,0.35450000,1.08633333,0.24766666,2.71538920,332.26650000,0.38916666,0.98687079,1.64209560,357.69650000,8.11100000,0.02827196,11.27733333,55.21083333,720.87766666,0.01136852,20.30850000,20.30616666,146.58400000,0.01316666,-0.02663878,12.34700000,12.09140000,5.45400000,22.30676268,8.63016666,7.16050000,17.98600000,1.98783333,0.89700000,1.18916666,14.50016666,4676.18533333,0.93400000,306.73216666,35.18650000,6.82700000,26.25050000,18.24150000,62.48350000,2.63866666,142.06400000
PH19RD7492,512.0,513.0,2.84500000,8.13030055,6.06250000,0.05800000,167.52150000,2.15800000,0.85210270,0.28250000,281.07450000,15.25300000,55.69750000,41.18650000,284.56050000,5.79400000,2.72600000,1.38600000,7.97657895,7.26750000,6.27200000,4.68600000,4.23000000,0.23500000,1.06250000,0.25300000,4.14890870,250.23900000,0.38950000,0.98535259,1.67503515,403.21450000,1.74450000,0.02922170,8.41050000,30.47050000,526.19950000,0.00588860,12.28950000,12.94100000,139.13850000,0.01250000,-0.02638790,15.35800000,11.86350000,5.56000000,23.00473375,9.21150000,11.45900000,21.03050000,1.34250000,0.74750000,0.30100000,10.27600000,4474.95700000,0.40850000,224.41450000,35.34050000,45.44450000,25.72750000,16.31900000,9.28800000,25.18050000,126.47100000
PH19RD7492,513.0,514.0,1.23742857,7.14559426,25.40200000,0.19285714,385.62942857,2.81200000,1.20959045,0.33614285,460.88685714,20.82314285,122.16450000,32.67171428,544.78914285,5.70000000,2.76142857,1.33671428,10.20260335,1.39557142,6.61042857,4.57342857,5.24742857,0.13971428,1.08300000,0.25171428,3.08626384,305.73242857,0.38557142,0.98932600,1.47335168,408.15457142,2.57728571,0.02922170,10.52342857,49.99757142,655.94357142,0.03686528,16.64957142,18.30485714,141.02685714,0.01200000,-0.01832441,10.46728571,12.55333333,4.63385714,21.92615343,8.78342857,8.39900000,23.05600000,1.36242857,0.82585714,2.03428571,14.41628571,5299.67928571,0.52314285,312.61200000,22.26028571,36.15614285,25.68957142,18.52857142,80.28414285,10.48285714,132.11300000
PH19RD7492,514.0,515.0,0.93650000,7.82104733,10.45625000,0.16500000,261.44225000,2.49425000,1.01823725,0.24400000,292.00900000,20.27125000,70.53866666,31.44600000,381.24600000,4.85225000,1.93575000,0.52625000,6.52300322,15.43100000,5.47625000,5.75950000,5.48275000,0.42825000,1.00050000,0.24400000,3.91358572,209.75900000,0.38925000,0.98920731,1.24945540,179.26300000,3.17150000,0.02944390,10.26500000,29.34925000,529.44325000,0.03889836,10.14050000,14.63100000,139.77725000,0.01825000,-0.00725826,14.43375000,14.61833333,4.75000000,24.92489596,9.04100000,8.35000000,19.59875000,0.58075000,0.46900000,1.22050000,9.14175000,5128.82675000,0.54125000,102.97400000,40.58875000,39.60725000,26.10150000,17.20825000,22.94475000,-1.55900000,144.86850000
PH19RD7492,516.0,517.0,0.59837500,6.15306602,15.33387500,0.13500000,183.36475000,2.60825000,1.51610538,0.28112500,396.92537500,23.17825000,40.79285714,32.68275000,666.23725000,5.74262500,2.84675000,1.70650000,10.48895375,-6.63525000,6.89200000,4.83100000,5.05812500,0.24512500,1.09100000,0.26750000,1.97760335,284.18087500,0.38900000,0.98656951,2.17207400,653.81800000,3.77900000,0.02904732,10.46525000,53.46812500,754.41000000,0.16223831,16.66762500,19.33525000,96.03962500,0.00975000,-0.02741951,14.49525000,10.13500000,4.59425000,22.84331947,8.25150000,7.68950000,20.40812500,1.66037500,0.92987500,4.08687500,14.07262500,4870.62212500,0.66737500,293.23775000,18.83062500,41.50125000,26.34325000,20.16375000,88.67575000,65.86837500,130.43225000
PH19RD7492,517.0,518.0,3.50900000,7.31620010,19.59500000,0.06200000,61.29100000,2.03000000,1.42996550,0.27900000,385.26600000,17.02400000,42.64100000,31.24600000,1439.23700000,5.47100000,3.10500000,2.40600000,13.69465870,-11.16600000,6.88600000,5.61500000,3.26200000,0.03400000,1.08300000,0.26700000,1.43749000,409.57800000,0.38900000,0.98432616,4.10084660,1126.52500000,0.85600000,0.02922170,9.25300000,63.60500000,512.64300000,0.17736870,17.96400000,18.64800000,105.20000000,0.00300000,-0.03835630,15.56600000,4.24400000,4.24200000,15.71746110,9.60300000,8.70800000,22.60300000,1.07700000,0.96100000,4.19000000,20.58800000,2433.35000000,0.33700000,347.89100000,8.18900000,-11.59000000,26.65400000,15.11300000,96.14600000,145.52600000,160.21700000
PH19RD7492,518.0,519.0,0.62928571,7.63312993,10.05671428,0.04657142,487.79785714,1.51042857,0.98125935,0.33257142,473.13228571,18.19400000,73.45437500,34.28371428,424.41457142,5.54628571,2.25000000,0.97685714,7.28015221,15.04142857,6.70628571,5.24371428,4.82985714,0.32300000,1.09228571,0.24314285,4.30196038,297.73971428,0.38957142,0.97200347,1.32039133,312.27328571,2.52557142,0.02852312,14.35500000,55.15857142,718.31114285,0.03910385,15.68342857,22.75571428,188.04257142,0.00828571,-0.01871337,9.99785714,17.66712500,4.42542857,24.40708912,8.81085714,5.57928571,23.05200000,2.32128571,0.58257142,3.50842857,12.27428571,7638.66885714,1.04928571,136.21700000,37.28228571,102.15257142,24.65971428,20.43528571,141.32414285,17.21785714,174.24014285
