SP_Hole_ID,From_Hole_Position,To_Hole_Position,Ag_ppm,Al_pct,As_ppm,Ba_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,Fe_pct,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Hg_ppm,Ho_ppm,In_ppm,K_pct,La_ppm,Lu_ppm,Match,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Nb_ppm,Nd_ppm,Ni_ppm,P_pct,Pb_ppm,Pr_ppm,Rb_ppm,Re_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Si_pct,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
DD17TUR017,220.0,221.0,0.99450000,5.62617870,64.86700000,229.42250000,2.83200000,2.06223027,1.58925000,68.78800000,25.45675000,46.00000000,9.09700000,278.14775000,3.59725000,2.45950000,0.51300000,11.18563667,8.91850000,4.52575000,0.81875000,2.43225000,2.38800000,0.74475000,0.35600000,3.80682280,51.39800000,0.36125000,0.97809130,10.77421422,313.99825000,4.14600000,0.10519277,9.78850000,40.12350000,49.13650000,0.00719570,275.60150000,6.48150000,284.09550000,0.01675000,0.16463447,28.78300000,4.86075000,2.71100000,22.36282660,5.54200000,2.67300000,5.40425000,0.67600000,0.67075000,0.43625000,10.29275000,1595.45950000,1.12000000,0.29125000,191.83325000,94.77537500,3.50500000,60.40425000,2.05700000,809.40950000,72.39400000
DD17TUR017,221.0,222.0,0.94585714,3.27904095,176.74557142,84.63457142,1.49900000,3.28455684,40.34714285,75.95071428,28.89714285,40.29742857,10.33285714,1798.56714285,3.18942857,2.49357142,0.57714285,11.36408238,8.59814285,6.31442857,2.02300000,2.56585714,2.42757142,0.81057142,0.95571428,1.94744077,64.83014285,0.36500000,0.98344240,8.12722390,825.41228571,8.28071428,0.29742695,9.81714285,40.28685714,34.56714285,0.03014948,275.29928571,7.66371428,183.32257142,0.01442857,0.89095882,19.74742857,5.88257142,2.68714285,22.50198230,5.43271428,3.38257142,13.59985714,0.56728571,0.67671428,0.24342857,8.16771428,1628.10478571,0.27128571,0.30414285,102.69114285,96.51985714,5.90471428,31.78871428,2.06400000,924.07571428,56.78157142
DD17TUR017,223.0,224.0,1.10462500,3.84685441,54.02962500,296.46000000,1.07675000,6.57691901,0.86700000,67.32200000,25.75112500,46.73185714,10.67362500,166.77175000,4.26962500,2.53762500,0.62850000,10.16791416,7.12412500,7.31687500,1.98675000,2.68162500,1.02187500,0.81300000,1.29887500,1.01989557,63.83162500,0.37475000,0.98111741,6.84843950,907.94187500,9.44562500,0.06505125,8.57637500,39.16587500,30.70150000,0.16873185,276.01525000,7.27350000,58.25412500,0.01362500,0.00242242,23.76412500,4.90985714,4.26412500,24.73717327,5.26350000,2.94212500,40.54150000,0.63512500,0.65275000,0.17187500,7.06725000,781.86660000,0.94612500,0.40400000,7.91850000,66.12513333,4.02812500,19.22737500,2.21762500,1107.99375000,95.22762500
DD17TUR017,224.0,225.0,0.92500000,7.33719420,30.72950000,778.91825000,0.45175000,2.96303787,0.58825000,65.96475000,19.42600000,35.30875000,10.90925000,310.68050000,3.56925000,2.43275000,0.84500000,7.14011585,7.93575000,6.40900000,2.96750000,2.59825000,1.61850000,0.87700000,0.29100000,3.18185762,33.51125000,0.34525000,0.97686837,5.56607042,630.59650000,9.96225000,0.59031602,12.65125000,38.81775000,30.37300000,0.05930335,178.22000000,5.60775000,278.91150000,0.01025000,0.46116795,15.17450000,12.46275000,1.26150000,27.39132557,4.75775000,1.62475000,124.42300000,0.64550000,0.66075000,0.22550000,12.97600000,1221.01987500,0.66950000,0.34950000,18.71800000,88.06387500,29.62100000,21.50500000,2.08975000,56.49575000,192.90600000
DD17TUR017,225.0,226.0,0.97022222,8.35689181,57.82955555,681.28433333,1.60177777,2.12875531,9.68722222,65.45233333,9.60322222,88.59300000,11.13477777,381.96322222,4.48122222,3.09277777,0.89033333,3.14204556,11.81933333,5.39311111,1.78922222,3.11033333,2.47011111,0.66522222,0.45455555,3.02727144,81.37966666,0.36355555,0.93562373,1.99906020,283.64000000,17.57277777,2.14640786,13.85600000,37.84022222,32.89900000,0.07484394,254.01244444,6.37055555,145.11333333,0.01244444,0.18582322,25.98388888,5.17266666,1.64344444,29.19983068,4.87555555,1.54200000,212.87255555,0.62855555,0.90000000,0.32111111,12.42755555,1152.42994444,0.95166666,0.34722222,12.52444444,64.68905555,5.75933333,20.08322222,2.18266666,772.72155555,149.30200000
DD17TUR017,226.0,227.0,0.90188888,8.37631702,53.27133333,946.38888888,1.33855555,1.53686177,2.61333333,63.99633333,8.96433333,58.50900000,11.14711111,611.91800000,5.00677777,3.03877777,0.87466666,2.43982408,12.83500000,5.38933333,2.60922222,3.29944444,1.41533333,0.64977777,0.42577777,3.77991635,27.53277777,0.37144444,0.90697647,0.64117962,180.48988888,13.78000000,2.14329614,12.87355555,38.33311111,31.87355555,0.07556632,326.02933333,6.74755555,146.38366666,0.01244444,0.09156940,19.08977777,2.44414285,1.46555555,30.64183958,4.39255555,1.75622222,289.83411111,0.49877777,0.89277777,0.35300000,7.56277777,997.46218750,2.06877777,0.41922222,10.62766666,68.25306250,14.49155555,16.64866666,2.37633333,742.23311111,112.55755555
DD17TUR017,227.0,228.0,1.11366666,6.07085368,58.73316666,281.12250000,0.63250000,2.54028158,0.53366666,71.12800000,22.97033333,46.04171428,10.93166666,1098.45983333,4.08766666,2.66000000,0.66700000,9.29627500,10.04050000,7.39750000,2.09400000,2.04933333,2.10516666,0.79433333,0.81666666,1.95558474,36.50400000,0.34500000,0.98189133,6.13807140,801.61550000,9.32266666,0.62817424,11.21816666,39.46966666,21.21166666,0.06628830,190.84383333,6.87666666,164.61766666,0.01133333,0.50665370,23.14783333,4.53242857,4.27483333,25.29279475,5.31883333,1.56333333,115.82566666,0.60266666,0.70816666,0.19183333,6.77600000,836.48330769,1.23616666,0.39216666,10.44350000,73.06800000,7.13066666,17.20800000,2.15133333,784.71750000,84.56616666
DD17TUR017,228.0,229.0,1.02071428,7.06796822,42.96971428,286.94500000,1.18885714,1.05593224,10.82271428,63.69814285,20.77357142,41.82820000,10.43928571,882.51114285,3.61828571,2.57585714,0.60628571,10.19351808,9.33542857,6.98428571,2.33157142,2.28900000,2.06242857,0.80185714,0.40414285,3.37947640,109.18928571,0.34400000,0.95017662,5.66287446,805.01585714,15.87457142,0.14204732,10.37528571,37.60457142,27.63000000,0.06140066,307.02471428,6.24157142,202.16014285,0.01185714,0.75055444,36.03628571,4.95880000,2.87900000,23.45151676,4.88785714,2.20714285,60.16100000,0.45800000,0.74042857,0.21728571,7.15871428,1958.47758333,1.76900000,0.36357142,9.32600000,99.34925000,5.83514285,18.64800000,2.30428571,948.89714285,77.20842857
DD17TUR017,229.0,230.0,0.91400000,6.36440007,39.21240000,105.66220000,2.82940000,2.89385655,1.16020000,62.13280000,31.99300000,38.88100000,9.96380000,502.43940000,3.64580000,2.48540000,0.62200000,10.25182732,12.08840000,7.32060000,2.29500000,2.62740000,1.88580000,0.86400000,0.44180000,2.29687467,119.19280000,0.35600000,0.98595057,5.10082882,782.42920000,7.68760000,0.53117392,10.38420000,37.37500000,43.11520000,0.10409615,123.38380000,4.40200000,254.95720000,0.01180000,0.42972815,18.92100000,12.97000000,2.05780000,22.04689717,4.57460000,2.08280000,33.28380000,0.72640000,0.68400000,0.15100000,13.78460000,2638.06622222,1.73700000,0.31520000,15.19860000,132.67322222,14.73720000,28.41560000,2.01680000,363.85820000,110.14240000
DD17TUR017,230.0,231.0,1.15320000,6.08321984,44.48150000,91.97560000,2.01360000,5.77546764,2.21250000,65.19030000,33.28620000,47.51988888,9.60710000,769.79010000,3.77070000,2.51030000,0.62890000,12.03105900,8.73270000,9.04990000,1.44060000,2.33400000,2.30840000,0.71860000,0.60310000,1.79045204,102.50190000,0.35670000,0.98758260,5.26336002,699.62780000,7.05610000,0.81836110,10.02400000,38.94500000,51.07200000,0.20639237,224.57900000,4.56760000,167.44050000,0.01270000,0.86159828,13.39160000,11.40911111,4.02860000,21.22681507,4.79030000,3.12450000,83.70010000,0.54060000,0.66730000,0.14480000,12.82470000,2344.13247368,0.89150000,0.32950000,14.03710000,118.01505263,9.31560000,22.15040000,2.10160000,827.36400000,115.92430000
